keyword,categoria,competicao_estimada,volume_busca,comprimento,eh_localizacao,eh_pergunta
psicólogo especialista em autismo em adultos,TEA_Adultos,Desconhecido,Médio,44,Não,Não
psicólogo especialista em TEA em adultos,TEA_Adultos,Média (8-12 anúncios),Médio,40,Não,Não
psicólogo online especialista em autismo em adultos,TEA_Adultos,Alta concorrência (15+ anúncios),Muito Baixo (<30),51,Sim,Não
psicólogo online especialista em TEA em adultos,TEA_Adultos,Desconhecido,Médio,47,Sim,Não
psicólogo TEA em adultos online,TEA_Adultos,Desconhecido,Médio,31,Sim,Não
psicólogo online para adultos autistas,Psicoterapia_Geral,Média (8-12 anúncios),Médio,38,Sim,Não
psicólogo TEA adulto Goiânia,TEA_Adultos,Média-baixa (6-8 anúncios),Médio,28,Sim,Não
psicólogo em Goiânia especialista em autismo,Especializacoes,Desconhecido,Médio,44,Sim,Não
avaliação de autismo em adultos,TEA_Adultos,Desconhecido,Médio,31,Não,Não
tratamento psicológico para adultos com autismo,Geral,Desconhecido,Médio,47,Não,Não
acompanhamento psicológico para TEA em adultos,TEA_Adultos,Desconhecido,Médio,46,Não,Não
terapia para autismo leve em adultos,Geral,Desconhecido,Médio,36,Não,Não
psicólogo para autismo nível 1,Geral,Desconhecido,Médio,30,Não,Não
psicólogo especialista em autismo de alto funcionamento em adultos,TEA_Adultos,Baixa concorrência (3-6 anúncios),Muito Baixo (<30),66,Não,Não
psicólogo online para TEA nível 1,TEA_Adultos,Desconhecido,Médio,33,Sim,Não
psicólogo online especializado em autismo feminino em adultas,Psicoterapia_Geral,Très baixa concorrência (<3 anúncios),Muito Baixo (<30),61,Sim,Não
psicólogo que entende autismo em adultos,TEA_Adultos,Baixa concorrência (3-6 anúncios),Médio,40,Não,Não
terapia para adulto que descobriu autismo tarde,Geral,Très baixa concorrência (<3 anúncios),Médio,47,Não,Não
psicólogo para adultos com suspeita de TEA que não fecham diagnóstico,TEA_Adultos,Très baixa concorrência (<3 anúncios),Muito Baixo (<30),69,Não,Não
como saber se tenho autismo em adulto,Geral,Desconhecido,Médio,37,Não,Não
psicólogo online para ansiedade social em adultos,Ansiedade_Social,Média-alta (12-15 anúncios),Médio,49,Sim,Não
dificuldade de relacionamento em adultos com possível autismo,Geral,Média-baixa (6-8 anúncios),Muito Baixo (<30),61,Não,Não
psicólogo online para pessoas que se sentem diferentes desde a infância,Psicoterapia_Geral,Desconhecido,Muito Baixo (<30),71,Sim,Não
terapia online para quem sente exaustão social burnout autista,Ansiedade_Social,Desconhecido,Muito Baixo (<30),62,Sim,Não
tratamento psicológico online para ansiedade social em autistas adultos,Ansiedade_Social,Desconhecido,Muito Baixo (<30),71,Sim,Não
hipnose clínica ericksoniana online,Hipnose_Clinica,Média (8-12 anúncios),Médio,35,Sim,Não
hipnose clínica Goiânia,Hipnose_Clinica,Média-baixa (6-8 anúncios),Médio,23,Sim,Não
hipnose clínica para ansiedade em adultos,Hipnose_Clinica,Média-baixa (6-8 anúncios),Médio,41,Não,Não
hipnose clínica para depressão em adultos,Hipnose_Clinica,Desconhecido,Médio,41,Não,Não
hipnose clínica para TEA em adultos,TEA_Adultos,Très baixa concorrência (<3 anúncios),Médio,35,Não,Não
hipnoterapia para ansiedade online,Hipnose_Clinica,Desconhecido,Médio,34,Sim,Não
hipnoterapia para TEA em adultos,TEA_Adultos,Desconhecido,Médio,32,Não,Não
hipnose clínica para traumas,Hipnose_Clinica,Desconhecido,Médio,28,Não,Não
hipnose clínica para traumas emocionais em adultos,Hipnose_Clinica,Desconhecido,Médio,50,Não,Não
hipnose ericksoniana para transtornos emocionais,Hipnose_Clinica,Desconhecido,Médio,48,Não,Não
hipnose ericksoniana para compulsões e hábitos disfuncionais,Hipnose_Clinica,Très baixa concorrência (<3 anúncios),Muito Baixo (<30),60,Não,Não
hipnose para quem já tentou de tudo na terapia,Geral,Desconhecido,Médio,46,Não,Não
hipnose ericksoniana é segura,Hipnose_Clinica,Desconhecido,Médio,29,Não,Não
hipnose online funciona para ansiedade,Localizacao,Baixa concorrência (3-6 anúncios),Médio,38,Sim,Não
diferença entre hipnose clínica e hipnose de palco,Hipnose_Clinica,Desconhecido,Médio,50,Não,Não
psicólogo com hipnose ericksoniana,Hipnose_Clinica,Desconhecido,Médio,34,Não,Não
psicólogo hipnose clínica online,Hipnose_Clinica,Desconhecido,Médio,32,Sim,Não
psicoterapia breve estratégica com hipnose,Geral,Très baixa concorrência (<3 anúncios),Médio,42,Não,Não
psicoterapia online para adultos,Psicoterapia_Geral,Alta concorrência (15+ anúncios),Alto (500-999),32,Sim,Não
psicólogo online especialista em TEA,TEA_Adultos,Baixa concorrência (3-6 anúncios),Médio,36,Sim,Não
psicólogo online ansiedade e depressão,Psicoterapia_Geral,Média-alta (12-15 anúncios),Médio,38,Sim,Não
psicólogo online ansiedade,Psicoterapia_Geral,Média (8-12 anúncios),Muito Alto (1000+),26,Sim,Não
psicólogo online depressão,Psicoterapia_Geral,Média-alta (12-15 anúncios),Muito Alto (1000+),26,Sim,Não
psicólogo online fobia social,Ansiedade_Social,Desconhecido,Médio,29,Sim,Não
psicólogo online baixa autoestima,Psicoterapia_Geral,Desconhecido,Médio,33,Sim,Não
atendimento psicológico online Brasil,Psicoterapia_Geral,Alta concorrência (15+ anúncios),Médio,37,Sim,Não
